,0
0,原文
1,読み
2,母音
0,一ある日の事でございます
1,イチアルヒノコトデゴザイマス
2,iiauioooeoaiau
0,御釈迦様は極楽の蓮池のふちを、独りでぶらぶら御歩きになっていらっしゃいました
1,オシャカサマハゴクラクノハスイケノフチヲ、ヒトリデブラブラゴアルキニナッテイラッシャイマシタ
2,oaaaaaouauoauieouioioieuauaoauiiaueiaaiaia
0,池の中に咲いている蓮の花は、みんな玉のようにまっ白で、そのまん中にある金色の蕊からは、何とも云えない好い匂が、絶間なくあたりへ溢れて居ります
1,イケノナカニサイテイルハチスノハナハ、ミンナダマノヨウニマッシロデ、ソノマンナカニアルキンイロノシベカラハ、ナントモイエナイヨイニオイガ、タエマナクアタリヘアフレテオリマス
2,ieoaaiaieiuaiuoaaainaaaoouiaioeooanaaiauiniooieaaaanooieaioiioiaaeaauaaieaueeoiau
0,極楽は丁度朝なのでございましょう
1,ゴクラクハチョウドアサナノデゴザイマショウ
2,ouauaouoaaaoeoaiaou
0,やがて御釈迦様はその池のふちに御佇みになって、水の面を蔽っている蓮の葉の間から、ふと下の容子を御覧になりました
1,ヤガテオシャカサマハソノイケノフチニゴタタズミニナッテ、ミズノメンヲオオッテイルハチスノハノマカラ、フトシタノヨウスヲゴランニナリマシタ
2,aaeoaaaaaooieouiioaauiiaueiuoeoooueiuaiuoaoaaauoiaoouuooaiaiaia
0,この極楽の蓮池の下は、丁度地獄の底に当って居りますから、水晶のような水を透き徹して、三途の河や針の山の景色が、丁度覗き眼鏡を見るように、はっきりと見えるのでございます
1,コノゴクラクノハスイケノシタハ、チョウドジゴクノソコニアタッテオリマスカラ、スイショウノヨウナミズヲスキテッシテ、サントノカワヤハリノヤマノケシキガ、チョウドノゾキメガネヲミルヨウニ、ハッキリトミエルノデゴザイマス
2,ooouauoauieoiaaouoiouoooiaaueoiauaauiouoouaiuouieieaooaaaaioaaoeiiaouoooieaeoiuouiaiioieuoeoaiau
0,するとその地獄の底に、陀多と云う男が一人、ほかの罪人と一しょに蠢いている姿が、御眼に止まりました
1,スルトソノジゴクノソコニ、陀多トイウオトコガイチニン、ホカノザイニントイチショニウゴメイテイルスガタガ、ゴメニトマリマシタ
2,uuoooiouoooiaaoiuoooaiiioaoaiioiioiuoeieiuuaaaoeioaiaia
0,この陀多と云う男は、人を殺したり家に火をつけたり、いろいろ悪事を働いた大泥坊でございますが、それでもたった一つ、善い事を致した覚えがございます
1,コノ陀多トイウオトコハ、ヒトヲコロシタリイエニヒヲツケタリ、イロイロアクジヲハタライタダイドロボウデゴザイマスガ、ソレデモタッタヒトツ、ヨイコトヲイタシタオボエガゴザイマス
2,ooaaoiuoooaiooooiaiieiioueaiioioauioaaaiaaioooueoaiauaoeeoaaiouoioooiaiaooeaoaiau
0,と申しますのは、ある時この男が深い林の中を通りますと、小さな蜘蛛が一匹、路ばたを這って行くのが見えました
1,トモウシマスノハ、アルトキコノオトコガフカイハヤシノナカヲトオリマスト、チイサナクモガイチヒキ、ミチバタヲハッテイクノガミエマシタ
2,oouiauoaauoioooooauaiaaioaaoooiauoiiaauoaiiiiiiaaoaueiuoaieaia
0,そこで陀多は早速足を挙げて、踏み殺そうと致しましたが、「いや、いや、これも小さいながら、命のあるものに違いない
1,ソコデ陀多ハサッソクアシヲアゲテ、フミコロソウトイタシマシタガ、「イヤ、イヤ、コレモチイサイナガラ、イノチノアルモノニチガイナイ
2,ooeaaaaouaioaeeuiooouoiaiaiaaiaiaoeoiiaiaaaioioauooiiaiai
0,その命を無暗にとると云う事は、いくら何でも可哀そうだ
1,ソノイノチヲムアンニトルトイウコトハ、イクラナニデモカワイソウダ
2,ooioiouaniouoiuooaiuaaieoaaioua
0,」と、こう急に思い返して、とうとうその蜘蛛を殺さずに助けてやったからでございます
1,」ト、コウキュウニオモイカエシテ、トウトウソノクモヲコロサズニタスケテヤッタカラデゴザイマス
2,oouiuuiooiaeieououoouooooauiaueeauaaaeoaiau
0,御釈迦様は地獄の容子を御覧になりながら、この陀多には蜘蛛を助けた事があるのを御思い出しになりました
1,オシャカサマハジゴクノヨウスヲゴランニナリナガラ、コノ陀多ニハクモヲタスケタコトガアルノヲゴオモイダシニナリマシタ
2,oaaaaaiouoouuooaiaiaaaooaaiauooaueaooaauoooooiaiiaiaia
0,そうしてそれだけの善い事をした報には、出来るなら、この男を地獄から救い出してやろうと御考えになりました
1,ソウシテソレダケノヨイコトヲシタホウニハ、デキルナラ、コノオトコヲジゴクカラスクイダシテヤロウトゴカンガエニナリマシタ
2,ouieoeaeooioooiaouiaeiuaaooooooiouaauuiaieaouooanaeiaiaia
0,幸い、側を見ますと、翡翠のような色をした蓮の葉の上に、極楽の蜘蛛が一匹、美しい銀色の糸をかけて居ります
1,サイワイ、ガワヲミマスト、カワセミノヨウナイロヲシタハチスノハノジョウニ、ゴクラクノクモガイチヒキ、ウツクシイギンイロノイトヲカケテオリマス
2,aiaiaaoiauoaaeioouaiooiaaiuoaoouiouauouoaiiiiuuuiiiniooiooaeeoiau
0,御釈迦様はその蜘蛛の糸をそっと御手に御取りになって、玉のような白蓮の間から、遥か下にある地獄の底へ、まっすぐにそれを御下しなさいました
1,オシャカサマハソノクモノイトヲソットゴテニゴトリニナッテ、タマノヨウナビャクレンノマカラ、ハルカカニアルジゴクノソコヘ、マッスグニソレヲオシモシナサイマシタ
2,oaaaaaoouooioooooeiooiiaueaaoouaaueoaaaauaaiauiouoooeauuioeooioiaaiaia
0,二こちらは地獄の底の血の池で、ほかの罪人と一しょに、浮いたり沈んだりしていた陀多でございます
1,ニコチラハジゴクノソコノチノイケデ、ホカノザイニントイチショニ、ウイタリシズンダリシテイタ陀多デゴザイマス
2,ioiaaiouooooioieeoaoaiioiioiuiaiiuaiieiaaaeoaiau
0,何しろどちらを見ても、まっ暗で、たまにそのくら暗からぼんやり浮き上っているものがあると思いますと、それは恐しい針の山の針が光るのでございますから、その心細さと云ったらございません
1,ナニシロドチラヲミテモ、マックラデ、タマニソノクラクラカラボンヤリウキノボッテイルモノガアルトオモイマスト、ソレハコワシイハリノヤマノハリガヒカルノデゴザイマスカラ、ソノココロボソサトユッタラゴザイマセン
2,aiiooiaoieoauaeaaioouauaaaonaiuiooueiuooaauoooiauooeaoaiiaioaaoaiaiauoeoaiauaaoooooooaouuaaoaiae
0,その上あたりは墓の中のようにしんと静まり返って、たまに聞えるものと云っては、ただ罪人がつく微な嘆息ばかりでございます
1,ソノウエアタリハハカノナカノヨウニシントシズマリカエッテ、タマニキコエルモノトユッテハ、タダザイニンガツクホロナタンソクバカリデゴザイマス
2,ooueaaiaaaoaaoouiinoiuaiaeueaaiioeuooouueaaaaiiauuooaanouaaieoaiau
0,これはここへ落ちて来るほどの人間は、もうさまざまな地獄の責苦に疲れはてて、泣声を出す力さえなくなっているのでございましょう
1,コレハココヘオチテクルホドノニンゲンハ、モウサマザマナジゴクノセメクニツカレハテテ、泣声ヲダスチカラサエナクナッテイルノデゴザイマショウ
2,oeaooeoieuuoooineaouaaaaaiouoeeuiuaeaeeuuoeoauiaaaeauaueiuoeoaiaou
0,ですからさすが大泥坊の陀多も、やはり血の池の血に咽びながら、まるで死にかかった蛙のように、ただもがいてばかり居りました
1,デスカラサスガダイドロボウノ陀多モ、ヤハリチノイケノチニムセビナガラ、マルデシニカカッタカエルノヨウニ、タダモガイテバカリオリマシタ
2,euaaauaaiooouoaaoaaiioieoiiueiaaaaueiiaauaaeuoouiaaoaieaaioiaia
0,ところがある時の事でございます
1,トコロガアルトキノコトデゴザイマス
2,oooaauoioooeoaiau
0,何気なく陀多が頭を挙げて、血の池の空を眺めますと、そのひっそりとした暗の中を、遠い遠い天上から、銀色の蜘蛛の糸が、まるで人目にかかるのを恐れるように、一すじ細く光りながら、するすると自分の上へ垂れて参るのではございませんか
1,ナニゲナク陀多ガアタマヲアゲテ、チノイケノソラヲナガメマスト、ソノヒッソリトシタクラノナカヲ、トオイトオイテンジョウカラ、ギンイロノクモノイトガ、マルデヒトメニカカルノヲオソレルヨウニ、ヒトスジホソクヒカリナガラ、スルスルトジブンノウエヘシダレテマイルノデハゴザイマセンカ
2,aieauaaaaaaoaeeioieooaoaaeauoooioioiauaoaaoooiooienouaainioouooioaaueioeiaauooooeuouiiouioouiaiaaauuuuoiuoueeiaeeaiuoeaoaiaea
0,陀多はこれを見ると、思わず手を拍って喜びました
1,陀多ハコレヲミルト、オモワズテヲハクッテヨロコビマシタ
2,aaaoeoiuoooaueoaueoooiaia
0,この糸に縋りついて、どこまでものぼって行けば、きっと地獄からぬけ出せるのに相違ございません
1,コノイトニスガリツイテ、ドコマデモノボッテイケバ、キットジゴクカラヌケダセルノニソウイゴザイマセン
2,ooioiuaiuieooaeoooueieaioiouaaueaeuoiouioaiae
0,いや、うまく行くと、極楽へはいる事さえも出来ましょう
1,イヤ、ウマクイクト、ゴクラクヘハイルコトサエモデキマショウ
2,iauauiuoouaueaiuooaeoeiaou
0,そうすれば、もう針の山へ追い上げられる事もなくなれば、血の池に沈められる事もある筈はございません
1,ソウスレバ、モウハリノヤマヘオイアゲラレルコトモナクナレバ、チノイケニシズメラレルコトモアルハズハゴザイマセン
2,ouueaouaioaaeoiaeaeuoooauaeaioieiiueaeuoooauauaoaiae
0,こう思いましたから陀多は、早速その蜘蛛の糸を両手でしっかりとつかみながら、一生懸命に上へ上へとたぐりのぼり始めました
1,コウオモイマシタカラ陀多ハ、サッソクソノクモノイトヲリョウテデシッカリトツカミナガラ、イッショウケンメイニウエヘウエヘトタグリノボリハジメマシタ
2,ouooiaiaaaaaaaouoouooioooueeiaiouaiaaaioueneiiueeueeoauiooiaieaia
0,元より大泥坊の事でございますから、こう云う事には昔から、慣れ切っているのでございます
1,モトヨリダイドロボウノコトデゴザイマスカラ、コウイウコトニハムカシカラ、ナレキッテイルノデゴザイマス
2,oooiaiooouoooeoaiauaaouiuooiauaiaaaeiueiuoeoaiau
0,しかし地獄と極楽との間は、何万里となくございますから、いくら焦って見た所で、容易に上へは出られません
1,シカシジゴクトゴクラクトノマハ、ナニマンリトナクゴザイマスカラ、イクラアセッテミタトコロデ、ヨウイニウエヘハデラレマセン
2,iaiiouoouauooaaaiaioauoaiauaaiuaaeueiaoooeouiiueeaeaeae
0,ややしばらくのぼる中に、とうとう陀多もくたびれて、もう一たぐりも上の方へはのぼれなくなってしまいました
1,ヤヤシバラクノボルナカニ、トウトウ陀多モクタビレテ、モウイチタグリモウエノホウヘハノボレナクナッテシマイマシタ
2,aaiaauoouaaiououaaouaieeouiiauioueooueaooeauaueiaiaia
