,0
0,原文
1,読み
2,母音
0,上　先生と私一私はその人を常に先生と呼んでいた
1,ウエ　センセイトワタシイチワタシハソノヒトヲツネニセンセイトヨンデイタ
2,ueeneioaaiiiaaiaooiooueieneiooeia
0,だからここでもただ先生と書くだけで本名は打ち明けない
1,ダカラココデモタダセンセイトカクダケデホンミョウハウチアケナイ
2,aaaooeoaaeneioauaeeonouauiaeai
0,これは世間を憚かる遠慮というよりも、その方が私にとって自然だからである
1,コレハセケンヲハバカカルエンリョトイウヨリモ、ソノホウガワタシニトッテシゼンダカラデアル
2,oeaeeoaaaauenooiuoioooouaaaiioeieaaaeau
0,私はその人の記憶を呼び起すごとに、すぐ「先生」といいたくなる
1,ワタシハソノヒトノキオクヲヨビオコスゴトニ、スグ「センセイ」トイイタクナル
2,aaiaooiooiouooioouooiuueneioiiauau
0,筆を執っても心持は同じ事である
1,フデヲトッテモココロモチハオナジジデアル
2,ueooueoooooiaoaiieau
0,よそよそしい頭文字などはとても使う気にならない
1,ヨソヨソシイカシラモジナドハトテモツカウキニナラナイ
2,ooooiiaiaoiaoaoeouauiiaaai
0,私が先生と知り合いになったのは鎌倉である
1,ワタシガセンセイトシリアイニナッタノハカマクラデアル
2,aaiaeneioiiaiiauaoaaauaeau
0,その時私はまだ若々しい書生であった
1,ソノトキワタシハマダワカワカシイショセイデアッタ
2,oooiaaiaaaaaaaiioeieaua
0,暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした
1,ショチュウキュウカヲリヨウシテカイスイヨクニイッタトモダチカラゼヒコイトイウハシガキヲウケトッタノデ、ワタシハタショウノキンヲクメンシテ、デカケルコトニシタ
2,ouuiuuaoiouieaiuiouiiuaooaiaaeioioiuaiaioueouaoeaaiaaouoioueieeaeuooiia
0,私は金の工面に二、三日を費やした
1,ワタシハキンノクメンニニ、サンニチヲツイヤシタ
2,aaiaioueiiaiiouiaia
0,ところが私が鎌倉に着いて三日と経たないうちに、私を呼び寄せた友達は、急に国元から帰れという電報を受け取った
1,トコロガワタシガカマクラニツイテサンニチトタタナイウチニ、ワタシヲヨビヨセタトモダチハ、キュウニクニモトカラカエレトイウデンポウヲウケトッタ
2,oooaaaiaaauaiuieaiioaaaiuiiaaiooioeaooaiaiuuiuiooaaaeeoiuenououeoua
0,電報には母が病気だからと断ってあったけれども友達はそれを信じなかった
1,デンポウニハハハガビョウキダカラトコトワッテアッタケレドモトモダチハソレヲシンジナカッタ
2,enouiaaaaouiaaaoooaueauaeeooooaiaoeoiniaaua
0,友達はかねてから国元にいる親たちに勧まない結婚を強いられていた
1,トモダチハカネテカラクニモトニイルオヤタチニススムマナイケッコンヲシイラレテイタ
2,ooaiaaeeaauiooiiuoaaiiuuuaaieooiiaeeia
0,彼は現代の習慣からいうと結婚するにはあまり年が若過ぎた
1,カレハゲンダイノシュウカンカライウトケッコンスルニハアマリネンガワカスギタ
2,aeaenaiouuaaaiuoeouuiaaaieaaauia
0,それに肝心の当人が気に入らなかった
1,ソレニカンジンノトウニンガキニイラナカッタ
2,oeianioouiaiiiaaaua
0,それで夏休みに当然帰るべきところを、わざと避けて東京の近くで遊んでいたのである
1,ソレデナツヤスミニトウゼンカエルベキトコロヲ、ワザトサケテトウキョウノチカクデアソンデイタノデアル
2,oeeauauiioueaeueiooooaaoaeeouiouoiaueaoeiaoeau
0,彼は電報を私に見せてどうしようと相談をした
1,カレハデンポウヲワタシニミセテドウシヨウトソウダンヲシタ
2,aeaenouoaaiiieeouiouoouaoia
0,私にはどうしていいか分らなかった
1,ワタシニハドウシテイイカワカラナカッタ
2,aaiiaouieiiaaaaaaua
0,けれども実際彼の母が病気であるとすれば彼は固より帰るべきはずであった
1,ケレドモジッサイカレノハハガビョウキデアルトスレバカレハモトヨリカエルベキハズデアッタ
2,eeooiaiaeoaaaouieauoueaaeaoooiaeueiaueaua
0,それで彼はとうとう帰る事になった
1,ソレデカレハトウトウカエルコトニナッタ
2,oeeaeaououaeuooiaua
0,せっかく来た私は一人取り残された
1,セッカクキタワタシハイチニントリノコサレタ
2,eauiaaaiaiiioiooaea
0,学校の授業が始まるにはまだ大分日数があるので鎌倉におってもよし、帰ってもよいという境遇にいた私は、当分元の宿に留まる覚悟をした
1,ガッコウノジュギョウガハジマルニハマダオオイタニッスウガアルノデカマクラニオッテモヨシ、カエッテモヨイトイウキョウグウニイタワタシハ、トウブンモトノヤドニトマルカクゴヲシタ
2,aouououaaiauiaaaooiaiuuaauoeaauaioueooiaeueooioiuiouuuiiaaaiaouuoooaoioauauooia
0,友達は中国のある資産家の息子で金に不自由のない男であったけれども、学校が学校なのと年が年なので、生活の程度は私とそう変りもしなかった
1,トモダチハチュウゴクノアルシサンカノムスコデキンニフジユウノナイオトコデアッタケレドモ、ガッコウガガッコウナノトトシガトシナノデ、セイカツノテイドハワタシトソウカワリモシナカッタ
2,ooaiauuouoauiaaouuoeiiuiuuoaioooeauaeeooaouaaouaoooiaoiaoeeiauoeioaaaioouaaioiaaua
0,したがって一人ぼっちになった私は別に恰好な宿を探す面倒ももたなかったのである
1,シタガッテヒトリボッチニナッタワタシハベツニカッコウナヤドヲサガスメンドウモモタナカッタノデアル
2,iaaeioioiiauaaaiaeuiaouaaooaauenouooaaauaoeau
0,宿は鎌倉でも辺鄙な方角にあった
1,ヤドハカマクラデモヘンピナホウガクニアッタ
2,aoaaauaeoeniaouauiaua
0,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった
1,タマツキダノアイスクリームダノトイウハイカラナモノニハナガイナワテヲヒトツコサナケレバテガトドカナカッタ
2,aauiaoaiuuiuaooiuaiaaaooiaaaiaaeoiouoaaeeaeaooaaaua
0,車で行っても二十銭は取られた
1,クルマデオコナッテモニジュウセンハトラレタ
2,uuaeooaueoiuueaoaea
0,けれども個人の別荘はそこここにいくつでも建てられていた
1,ケレドモコジンノベッソウハソコココニイクツデモタテラレテイタ
2,eeoooioeouaooooiiuueoaeaeeia
0,それに海へはごく近いので海水浴をやるには至極便利な地位を占めていた
1,ソレニウミヘハゴクチカイノデカイスイヨクヲヤルニハシゴクベンリナチイヲシメテイタ
2,oeiuieaouiaioeaiuiouoauiaioueniaiioieeia
0,私は毎日海へはいりに出掛けた
1,ワタシハマイニチウミヘハイリニデカケタ
2,aaiaaiiiuieaiiieaea
0,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた
1,フルイフスブリガエッタワラブキノマヲトオリヌケテイソヘオリルト、コノヘンニコレホドノトカイジンシュガスンデイルカトオモウホド、ヒショニキタオトコヤオンナデスナノウエガウゴイテイタ
2,uuiuuuiaeuaaauioaoooiueeioeoiuoooeioeooooaiiuaueiuaooouooioiiaoooaonaeuaoueauoieia
0,ある時は海の中が銭湯のように黒い頭でごちゃごちゃしている事もあった
1,アルトキハウミノナカガセントウノヨウニクロイアタマデゴチャゴチャシテイルコトモアッタ
2,auoiauioaaaenouoouiuoiaaaeoaoaieiuoooaua
0,その中に知った人を一人ももたない私も、こういう賑やかな景色の中に裹まれて、砂の上に寝そべってみたり、膝頭を波に打たしてそこいらを跳ね廻るのは愉快であった
1,ソノナカニシッタヒトヲイチニンモモタナイワタシモ、コウイウニギヤカナケシキノナカニ裹マレテ、スナノジョウニネソベッテミタリ、ヒザガシラヲナミニウタシテソコイラヲハネメグルノハユカイデアッタ
2,ooaaiiuaiooiiiooaaiaaioouiuiiaaaeiioaaiuuuaeeuaoouieoeueiaiiaaiaoaiiuaieooiaoaeeuuoauaieaua
0,私は実に先生をこの雑沓の間に見付け出したのである
1,ワタシハジツニセンセイヲコノザットウノマニミツケダシタノデアル
2,aaiaiuieneioooaouoaiiueaiaoeau
0,その時海岸には掛茶屋が二軒あった
1,ソノトキカイガンニハカケヂャヤガニケンアッタ
2,oooiaiaiaaeaaaieaua
0,私はふとした機会からその一軒の方に行き慣れていた
1,ワタシハフトシタキカイカラソノイチケンノホウニイキナレテイタ
2,aaiauoiaiaiaaooiieoouiiiaeeia
0,長谷辺に大きな別荘を構えている人と違って、各自に専有の着換場を拵えていないここいらの避暑客には、ぜひともこうした共同着換所といった風なものが必要なのであった
1,ナガタニベニオオキナベッソウヲカマエテイルヒトトチガッテ、カクジニセンユウノチャクカワジョウヲコシラエテイナイココイラノヒショキャクニハ、ゼヒトモコウシタキョウドウギカワトコロトイッタカゼナモノガヒツヨウナノデアッタ
2,aaaieiooiaeouoaaeeiuiooiaueauiienuuoauaaouooiaeeiaiooiaoioiauiaeiooouiaiououiaaooooiaaeaooaiuouaoeaua
0,彼らはここで茶を飲み、ここで休息する外に、ここで海水着を洗濯させたり、ここで鹹はゆい身体を清めたり、ここへ帽子や傘を預けたりするのである
1,カレラハココデチャヲノミ、ココデキュウソクスルホカニ、ココデカイスイギヲセンタクサセタリ、ココデ鹹ハユイシンタイヲキヨメタリ、ココヘボウシヤカサヲアヅケタリスルノデアル
2,aeaaooeaooiooeiuuouuuoaiooeaiuiioenauaeaiooeaauiinaioioeaiooeouiaaaoaueaiuuoeau
0,海水着を持たない私にも持物を盗まれる恐れはあったので、私は海へはいるたびにその茶屋へ一切を脱ぎ棄てる事にしていた
1,カイスイギヲモタナイワタシニモモチモノヲヌスマレルオソレハアッタノデ、ワタシハウミヘハイルタビニソノチャヤヘイッサイヲヌギステルコトニシテイタ
2,aiuiiooaaiaaiiooiooouuaeuooeaauaoeaaiauieaiuaiiooaaeiaiouiueuooiieia
0,二私がその掛茶屋で先生を見た時は、先生がちょうど着物を脱いでこれから海へ入ろうとするところであった
1,ニワタシガソノカケヂャヤデセンセイヲミタトキハ、センセイガチョウドキモノヲヌイデコレカラウミヘニュウロウトスルトコロデアッタ
2,iaaiaooaeaaeeneioiaoiaeneiaouoiooouieoeaauienuuououuoooeaua
0,私はその時反対に濡れた身体を風に吹かして水から上がって来た
1,ワタシハソノトキハンタイニヌレタシンタイヲカゼニフカシテミズカラアガッテキタ
2,aaiaoooianaiiueainaioaeiuaieiuaaaaueia
0,二人の間には目を遮る幾多の黒い頭が動いていた
1,ニニンノマニハメヲサエギルイクタノクロイアタマガウゴイテイタ
2,iioaiaeoaeiuiuaouoiaaaauoieia
0,特別の事情のない限り、私はついに先生を見逃したかも知れなかった
1,トクベツノジジョウノナイカギリ、ワタシハツイニセンセイヲミノガシタカモシレナカッタ
2,oueuoiouoaiaiiaaiauiieneioioaiaaoieaaua
