,0
0,原文
1,読み
2,母音
0,朝、グレゴール・ザムザが気がかりな夢から目ざめたとき、自分がベッドの上で一匹の巨大な毒虫に変ってしまっているのに気づいた。
1,アサ、グレゴール・ザムザガキガカリナユメカラメザメタトキ、ジブンガベッドノジョウデイチヒキノキョダイナドクムシニカワッテシマッテイルノニキヅイタ。
2,aaueouauaaiaaiaueaaeaeaoiiuaeoooueiiiioioaiaouuiiaaueiaueiuoiiuia
0,は甲殻のように固い背中を下にして横たわり、頭を少し上げると、何本もの弓形のすじにわかれてこんもりと盛り上がっている自分の茶色の腹が見えた。
1,ハコウカクノヨウニカタイセナカヲシタニシテヨコタワリ、アタマヲスコシアゲルト、ナンホンモノキュウケイノスジニワカレテコンモリトモリアガッテイルジブンノチャイロノハラガミエタ。
2,aouauoouiaaieaaoiaiieooaaiaaaouoiaeuoaoooiuueiouiiaaeeonoiooiaaueiuiuoaiooaaaiea
0,の盛り上がりの上には、かけぶとんがすっかりずり落ちそうになって、まだやっともちこたえていた。
1,ノモリアガリノジョウニハ、カケブトンガスッカリズリオチソウニナッテ、マダヤットモチコタエテイタ。
2,ooiaaioouiaaeuoauaiuioiouiaueaaaooioaeeia
0,の大きさに比べると情けないくらいかぼそいたくさんの足が自分の眼の前にしょんぼりと光っていた。
1,ノオオキサニクラベルトナサケナイクライカボソイタクサンノアシガジブンノメノマエニションボリトヒカッテイタ。
2,oooiaiuaeuoaaeaiuaiaooiauaoaiaiuoeoaeionoioiaueia
0,おれはどうしたのだろう？」
1,オレハドウシタノダロウ？」
2,oeaouiaoaou
0,、彼は思った。
1,、カレハオモッタ。
2,aeaooua
0,ではなかった。
1,デハナカッタ。
2,eaaaua
0,の部屋、少し小さすぎるがまともな部屋が、よく知っている四つの壁のあいだにあった。
1,ノヘヤ、スコシチイサスギルガマトモナヘヤガ、ヨクシッテイルヨッツノカベノアイダニアッタ。
2,oeauoiiiauiuaaooaeaaouiueiuouoaeoaiaiaua
0,の上には布地の見本が包みをといて拡げられていたが——ザムザは旅廻りのセールスマンだった——、そのテーブルの上方の壁には写真がかかっている。
1,ノジョウニハヌノジノミホンガツツミヲトイテヒロゲラレテイタガ——ザムザハタビマワリノセールスマンダッタ——、ソノテーブルノカミガタノカベニハシャシンガカカッテイル。
2,oouiauoioioauuiooieioeaeeiaaauaaaiaaioeuuaauaooeuuoaiaaoaeiaaiaaaueiu
0,は彼がついさきごろあるグラフ雑誌から切り取り、きれいな金ぶちの額に入れたものだった。
1,ハカレガツイサキゴロアルグラフザッシカラキリトリ、キレイナキンブチノガクニイレタモノダッタ。
2,aaeauiaiooauuauaiaaiioiieiaiuioauiieaooaua
0,ているのは一人の婦人で、毛皮の帽子と毛皮のえり巻とをつけ、身体をきちんと起こし、肘まですっぽり隠れてしまう重そうな毛皮のマフを、見る者のほうに向ってかかげていた。
1,テイルノハイチニンノフジンデ、ケガワノボウシトケガワノエリマキトヲツケ、シンタイヲキチントオコシ、ヒジマデスッポリカクレテシマウオモソウナケガワノマフヲ、ミルモノノホウニムカッテカカゲテイタ。
2,eiuoaiiiouieeaaoouioeaaoeiaiooueinaioiinoooiiiaeuoiaueeiauooouaeaaoauoiuoooouiuaueaaeeia
0,の視線はつぎに窓へ向けられた。
1,ノシセンハツギニマドヘムケラレタ。
2,oieauiiaoeueaea
0,な天気は——雨だれが窓わくのブリキを打っている音が聞こえた——彼をすっかり憂鬱にした。
1,ナテンキハ——アマダレガマドワクノブリキヲウッテイルオトガキコエタ——カレヲスッカリユウウツニシタ。
2,aeniaaaaeaaoauouiiouueiuooaioeaaeouaiuuuuiia
0,もう少し眠りつづけて、ばかばかしいことはみんな忘れてしまったら、どうだろう」
1,モウスコシネムリツヅケテ、バカバカシイコトハミンナワスレテシマッタラ、ドウダロウ」
2,ouuoieuiuueeaaaaiiooainaaueeiauaaouaou
0,、考えたが、全然そうはいかなかった。
1,、カンガエタガ、ゼンゼンソウハイカナカッタ。
2,anaeaaeneouaiaaaua
0,のは、彼は右下で眠る習慣だったが、この今の状態ではそういう姿勢を取ることはできない。
1,ノハ、カレハミギシタデネムルシュウカンダッタガ、コノイマノジョウタイデハソウイウシセイヲトルコトハデキナイ。
2,oaaeaiiiaeeuuuuaauaaooiaoouaieaouiuieioouooaeiai
0,力をこめて右下になろうとしても、いつでも仰向けの姿勢にもどってしまうのだ。
1,リョクヲコメテミギシタニナロウトシテモ、イツデモアオムケノシセイニモドッテシマウノダ。
2,ouooeeiiiaiaouoieoiueoaoueoieiiooueiauoa
0,回もそれを試み、両眼を閉じて自分のもぞもぞ動いているたくさんの脚を見ないでもすむようにしていたが、わき腹にこれまでまだ感じたことのないような軽い鈍痛を感じ始めたときに、やっとそんなことをやるのはやめた。
1,カイモソレヲココロミ、リョウメヲトジテジブンノモゾモゾウゴイテイルタクサンノアシヲミナイデモスムヨウニシテイタガ、ワキバラニコレマデマダカンジタコトノナイヨウナカルイドンツウヲカンジハジメタトキニ、ヤットソンナコトヲヤルノハヤメタ。
2,aiooeooooioueooieiuooooouoieiuauaoaioiaieouuouiieiaaaiaaioeaeaaaniaoooaiouaauionuuoaniaieaoiiaoonaoooauoaaea
0,ああ、なんという骨の折れる職業をおれは選んでしまったんだろう」
1,アア、ナントイウホネノオレルショクギョウヲオレハエランデシマッタンダロウ」
2,aaaoiuoeooeuououooeaeaeiauaaou
0,、彼は思った。
1,、カレハオモッタ。
2,aeaooua
0,毎日、毎日、旅に出ているのだ。
1,マイニチ、マイニチ、タビニデテイルノダ。
2,aiiiaiiiaiieeiuoa
0,の土地での本来の商売におけるよりも、商売上の神経の疲れはずっと大きいし、その上、旅の苦労というものがかかっている。
1,ノトチデノホンライノショウバイニオケルヨリモ、ショウバイジョウノシンケイノツカレハズットオオキイシ、ソノジョウ、タビノクロウトイウモノガカカッテイル。
2,ooieoonaioouaiioeuoioouaiouoineiouaeauoooiiiooouaiououoiuooaaaueiu
0,の乗換え連絡、不規則で粗末な食事、たえず相手が変って長つづきせず、けっして心からうちとけ合うようなことのない人づき合い。
1,ノノリカエレンラク、フキソクデソマツナショクジ、タエズアイテガカワッテナガツヅキセズ、ケッシテココロカラウチトケアウヨウナコトノナイヒトヅキアイ。
2,ooiaeenauuioueoauaouiaeuaieaaaueaauuieueieoooaauioeauouaoooaiiouiai
0,いまいましいことだ！」
1,イマイマシイコトダ！」
2,iaiaiiooa
0,は腹の上に軽いかゆみを感じ、頭をもっとよくもたげることができるように仰向けのまま身体をゆっくりとベッドの柱のほうへずらせ、身体のかゆい場所を見つけた。
1,ハハラノジョウニカルイカユミヲカンジ、アタマヲモットヨクモタゲルコトガデキルヨウニアオムケノママシンタイヲユックリトベッドノハシラノホウヘズラセ、シンタイノカユイバショヲミツケタ。
2,aaaoouiauiauioaniaaaoooouoaeuooaeiuouiaoueoaainaiouuioeooaiaooueuaeinaioauiaooiuea
0,場所は小さな白い斑点だけに被われていて、その斑点が何であるのか判断を下すことはできなかった。
1,バショハチイサナシロイハンテンダケニオオワレテイテ、ソノハンテンガナニデアルノカハンダンヲクダスコトハデキナカッタ。
2,aoaiiaaioianeaeiooaeeieooaneaaieauoaanaouauooaeiaaua
0,、一本の脚でその場所にさわろうとしたが、すぐに脚を引っこめた。
1,、イチホンノアシデソノバショニサワロウトシタガ、スグニアシヲヒッコメタ。
2,iiooaieooaoiaaouoiaauuiaioioea
0,たら、身体に寒気がしたのだ。
1,タラ、シンタイニサムケガシタノダ。
2,aainaiiaueaiaoa
0,はまた以前の姿勢にもどった。
1,ハマタイゼンノシセイニモドッタ。
2,aaaieoieiiooua
0,この早起きというのは」
1,コノハヤオキトイウノハ」
2,ooaaoioiuoa
0,、彼は思った、
1,、カレハオモッタ、
2,aeaooua
0,人間をまったく薄ばかにしてしまうのだ。
1,ニンゲンヲマッタクウスバカニシテシマウノダ。
2,ineoaauuuaaiieiauoa
0,は眠りをもたなければならない。
1,ハネムリヲモタナケレバナラナイ。
2,aeuiooaaeeaaaai
0,のセールスマンたちはまるでハレムの女たちのような生活をしている。
1,ノセールスマンタチハマルデハレムノオンナタチノヨウナセイカツヲシテイル。
2,oeuuaaiaaueaeuoonaaioouaeiauoieiu
0,おれがまだ午前中に宿へもどってきて、取ってきた注文を書きとめようとすると、やっとあの連中は朝食のテーブルについているところだ。
1,オレガマダゴゼンチュウニヤドヘモドッテキテ、トッテキタチュウモンヲカキトメヨウトスルト、ヤットアノレンチュウハチョウショクノテーブルニツイテイルトコロダ。
2,oeaaaoeuuiaoeooueieoueiauuooaioeououuoaoaoenuuaououoeuuiuieiuoooa
0,ことをやったらおれの店主がなんていうか、見たいものだ。
1,コトヲヤッタラオレノテンシュガナンテイウカ、ミタイモノダ。
2,oooauaaoeoenuaaneiuaiaiooa
0,はすぐさまくびになってしまうだろう。
1,ハスグサマクビニナッテシマウダロウ。
2,auuaauiiaueiauaou
0,、そんなことをやるのがおれにとってあんまりいいことでないかどうか、だれにだってわかりはしない。
1,、ソンナコトヲヤルノガオレニトッテアンマリイイコトデナイカドウカ、ダレニダッテワカリハシナイ。
2,onaoooauoaoeioeanaiiiooeaiaouaaeiaeaaiaiai
0,のためにそんなことをひかえているのでなければ、もうとっくに辞職してしまっているだろう。
1,ノタメニソンナコトヲヒカエテイルノデナケレバ、モウトックニジショクシテシマッテイルダロウ。
2,oaeionaoooiaeeiuoeaeeaououiiouieiaueiuaou
0,の前に歩み出て、思うことを腹の底からぶちまけてやったことだろう。
1,ノマエニアユミデテ、オモウコトヲハラノソコカラブチマケテヤッタコトダロウ。
2,oaeiauieeoouoooaaoooaauiaeeauaooaou
0,店主は驚いて机から落っこちてしまうにちがいなかったのだ！　机の上に腰かけて、高いところから店員と話をするというのも、奇妙なやりかただ。
1,テンシュハオドロイテツクエカラオッコチテシマウニチガイナカッタノダ！　ツクエノジョウニコシカケテ、タカイトコロカラテンイントハナシヲスルトイウノモ、キミョウナヤリカタダ。
2,enuaoooieuueaaooieiauiiaiaauaoauueoouioiaeeaaioooaaenioaaiouuoiuooiouaaiaaa
0,店員のほうは、店主の耳が遠いときているので近くによっていかなければならないのだ。
1,テンインノホウハ、テンシュノミミガトオイトキテイルノデチカクニヨッテイカナケレバナラナイノダ。
2,enioouaenuoiiaooioieiuoeiauioeiaaeeaaaaioa
0,、希望はまだすっかり捨てられてしまったわけではない。
1,、キボウハマダスッカリステラレテシマッタワケデハナイ。
2,iouaaauaiueaeeiauaaeeaai
0,の借金をすっかり店主に払うだけの金を集めたら——まだ五、六年はかかるだろうが——きっとそれをやってみせる。
