,0
0,原文
1,読み
2,母音
0,"Leventselve,ilfauttenterdevivre"
1,"エルイーventエスイーlve""アイエルfauttenterディーイーvivre"
2,euieneuieaieuaueneiiie
0,PAULVALRY序曲それらの夏の日々、一面に薄の生い茂った草原の中で、お前が立ったまま熱心に絵を描いていると、私はいつもその傍らの一本の白樺の木蔭に身を横たえていたものだった
1,PAULVALRYジョキョクソレラノナツノヒビ、イチメンニススキノオイシゲッタソウゲンノナカデ、オマエガタッタママネッシンニエヲエガイテイルト、ワタシハイツモソノカタワラノイチホンノシラカンバノコカゲニミヲヨコタエテイタモノダッタ
2,oiouoeaoauoiiiieiuuiooiieuaoueoaaeoaeaauaaaeiieoeaieiuoaaiaiuoooaaaaoiiooiaanaooaeiioooaeeiaooaua
0,そうして夕方になって、お前が仕事をすませて私のそばに来ると、それからしばらく私達は肩に手をかけ合ったまま、遥か彼方の、縁だけ茜色を帯びた入道雲のむくむくした塊りに覆われている地平線の方を眺めやっていたものだった
1,ソウシテユウガタニナッテ、オマエガシゴトヲスマセテワタシノソバニクルト、ソレカラシバラクワタシタチハカタニテヲカケアッタママ、ハルカカナタノ、エニシダケアカネイロヲオビタニュウドウグモノムクムクシタカタマリリニオオワレテイルチヘイセンノホウヲナガメヤッテイタモノダッタ
2,ouieuuaaiaueoaeaiooouaeeaaiooaiuuooeaaiaauaaiaiaaaieoaeauaaaauaaaaoeiiaeaaeioooianuuouuoouuuuiaaaaiiiooaeeiuieieoouoaaeaueiaooaua
0,ようやく暮れようとしかけているその地平線から、反対に何物かが生れて来つつあるかのように……そんな日の或る午後、（それはもう秋近い日だった）私達はお前の描きかけの絵を画架に立てかけたまま、その白樺の木蔭に寝そべって果物を齧じっていた
1,ヨウヤククレヨウトシカケテイルソノチヘイセンカラ、ハンタイニナニブツカガウマレテキツツアルカノヨウニ……ソンナヒノアルルゴゴ、（ソレハモウアキチカイヒダッタ）ワタシタチハオマエノエガキカケノエヲガカニタテカケタママ、ソノシラカンバノコカゲニネソベッテクダモノヲカジジッテイタ
2,ouauueouoiaeeiuooieieaaanaiiaiuuaauaeeiuuauaoouionaioauuoooeaouaiiaiiauaaaiaiaoaeoeaiaeoeoaaiaeaeaaaooiaanaooaeieoeueuaoooaiieia
0,砂のような雲が空をさらさらと流れていた
1,スナノヨウナクモガソラヲサラサラトナガレテイタ
2,uaoouauoaoaoaaaaoaaeeia
0,そのとき不意に、何処からともなく風が立った
1,ソノトキフイニ、ドコカラトモナクカゼガタッタ
2,oooiuiiooaaooauaeaaua
0,私達の頭の上では、木の葉の間からちらっと覗いている藍色が伸びたり縮んだりした
1,ワタシタチノアタマノジョウデハ、コノハノマカラチラットノゾイテイルアイイロガノビタリチヂンダリシタ
2,aaiaioaaaooueaooaoaaaiaoooieiuaiioaoiaiiiaiia
0,それと殆んど同時に、草むらの中に何かがばったりと倒れる物音を私達は耳にした
1,ソレト殆ンドドウジニ、クサムラノナカニナニカガバッタリトタオレルモノオトヲワタシタチハミミニシタ
2,oeoaioouiiuauaoaaiaiaaaaioaoeuoooooaaiaiaiiiia
0,それは私達がそこに置きっぱなしにしてあった絵が、画架と共に、倒れた音らしかった
1,ソレハワタシタチガソコニオキッパナシニシテアッタエガ、ガカトトモニ、タオレタオトラシカッタ
2,oeaaaiaiaooioiaaiiieauaeaaaoooiaoeaooaiaua
0,すぐ立ち上って行こうとするお前を、私は、いまの一瞬の何物をも失うまいとするかのように無理に引き留めて、私のそばから離さないでいた
1,スグタチノボッテイコウトスルオマエヲ、ワタシハ、イマノイッシュンノナニブツヲモウシナウマイトスルカノヨウニムリニヒキトメテ、ワタシノソバカラハナサナイデイタ
2,uuaiooueiououuoaeoaaiaiaoiuoaiuuoouiauaiouuaoouiuiiiioeeaaiooaaaaaaaieia
0,お前は私のするがままにさせていた
1,オマエハワタシノスルガママニサセテイタ
2,oaeaaaiouuaaaiaeeia
0,風立ちぬ、いざ生きめやも
1,カゼタチヌ、イザセイキメヤモ
2,aeaiuiaeiieao
0,ふと口を衝いて出て来たそんな詩句を、私は私に靠れているお前の肩に手をかけながら、口の裡で繰り返していた
1,フトクチヲツイテデテキタソンナシクヲ、ワタシハワタシニモタレテイルオマエノカタニテヲカケナガラ、クチノウラデクリカエシテイタ
2,uouiouieeeiaonaiuoaaiaaaiioaeeiuoaeoaaieoaeaaauiouaeuiaeieia
0,それからやっとお前は私を振りほどいて立ち上って行った
1,ソレカラヤットオマエハワタシヲフリホドイテタチノボッテイッタ
2,oeaaaooaeaaaiouiooieaiooueiua
0,まだよく乾いてはいなかったカンヴァスは、その間に、一めんに草の葉をこびつかせてしまっていた
1,マダヨクカワイテハイナカッタカンヴァスハ、ソノカンニ、イチメンニクサノハヲコビツカセテシマッテイタ
2,aaouaaieaiaauaanauaooaiiieiuaoaooiuaeeiaueia
0,それを再び画架に立て直し、パレット・ナイフでそんな草の葉を除りにくそうにしながら、「まあ！　こんなところを、もしお父様にでも見つかったら……」お前は私の方をふり向いて、なんだか曖昧な微笑をした
1,ソレヲフタタビガカニタテナオシ、パレット・ナイフデソンナクサノハヲジョリニクソウニシナガラ、「マア！　コンナトコロヲ、モシオトウサマニデモミツカッタラ……」オマエハワタシノホウヲフリムイテ、ナンダカアイマイナビショウヲシタ
2,oeouaaiaaiaeaoiaeoaiueonauaoaooiiuouiiaaaaaonaoooooioouaaieoiuauaaoaeaaaioououiuieanaaaiaiaiouoia
0,「もう二三日したらお父様がいらっしゃるわ」或る朝のこと、私達が森の中をさまよっているとき、突然お前がそう言い出した
1,「モウニサンニチシタラオトウサマガイラッシャルワ」アルルアサノコト、ワタシタチガモリノナカヲサマヨッテイルトキ、トツゼンオマエガソウイイダシタ
2,ouiaiiiaaoouaaaiaauaauuaaoooaaiaiaoioaaoaaoueiuoioueoaeaouiiaia
0,私はなんだか不満そうに黙っていた
1,ワタシハナンダカフマンソウニダマッテイタ
2,aaiaanaauaouiaaueia
0,するとお前は、そういう私の方を見ながら、すこし嗄れたような声で再び口をきいた
1,スルトオマエハ、ソウイウワタシノホウヲミナガラ、スコシシャガレタヨウナコエデフタタビクチヲキイタ
2,uuooaeaouiuaaioouoiaaauoiaaeaouaoeeuaaiuioiia
0,「そうしたらもう、こんな散歩も出来なくなるわね」「どんな散歩だって、しようと思えば出来るさ」私はまだ不満らしく、お前のいくぶん気づかわしそうな視線を自分の上に感じながら、しかしそれよりももっと、私達の頭上の梢が何んとはなしにざわめいているのに気を奪られているような様子をしていた
1,「ソウシタラモウ、コンナサンポモデキナクナルワネ」「ドンナサンポダッテ、シヨウトオモエバデキルサ」ワタシハマダフマンラシク、オマエノイクブンキヅカワシソウナシセンヲジブンノジョウニカンジナガラ、シカシソレヨリモモット、ワタシタチノズジョウノコズエガナニントハナシニザワメイテイルノニキヲダツラレテイルヨウナヨウスヲシテイタ
2,ouiaaouonaanooeiauauaeonaanoaeiouoooeaeiuaaaiaaauaaiuoaeoiuuiuaaiouaieoiuoouianiaaaiaioeoioooaaiaiououooueaaioaaiiaaeieiuoiioauaeeiuouaouuoieia
0,「お父様がなかなか私を離して下さらないわ」私はとうとう焦れったいとでも云うような目つきで、お前の方を見返した
1,「オトウサマガナカナカワタシヲハナシテクダサラナイワ」ワタシハトウトウジレッタイトデモイウヨウナメツキデ、オマエノホウヲミカエシタ
2,oouaaaaaaaaaioaaieuaaaaiaaaiaououieaioeoiuouaeuieoaeoouoiaeia
0,「じゃあ、僕達はもうこれでお別れだと云うのかい？」「だって仕方がないじゃないの」そう言ってお前はいかにも諦め切ったように、私につとめて微笑んで見せようとした
1,「ジャア、ボクタチハモウコレデオワカレダトイウノカイ？」「ダッテシカタガナイジャナイノ」ソウイッテオマエハイカニモアキラメキッタヨウニ、ワタシニツトメテホホエンデミセヨウトシタ
2,aaouaiaouoeeoaaeaoiuoaiaeiaaaaiaaioouiueoaeaiaioaiaeiuaouiaaiiuoeeooeeieouoia
0,ああ、そのときのお前の顔色の、そしてその唇の色までも、何んと蒼ざめていたことったら！「どうしてこんなに変っちゃったんだろうなあ
1,アア、ソノトキノオマエノカオイロノ、ソシテソノクチビルノイロマデモ、ナニントアオイざめていたことったら！「ドウシテコンナニカワッチャッタンダロウナア
2,aaoooiooaeoaoioooieoouiiuoioaeoaioaoiaeeiaooaaouieonaiaauauaaouaa
0,あんなに私に何もかも任せ切っていたように見えたのに……」と私は考えあぐねたような恰好で、だんだん裸根のごろごろし出して来た狭い山径を、お前をすこし先きにやりながら、いかにも歩きにくそうに歩いて行った
1,アンナニワタシニナニモカモマカセキッテイタヨウニミエタノニ……」トワタシハカンガエアグネタヨウナカッコウデ、ダンダンハダカネノゴロゴロシシュツシテキタセマイヤマミチヲ、オマエヲスコシセンキニヤリナガラ、イカニモアルキニクソウニアルイテイッタ
2,anaiaaiiaioaoaaeiueiaouiieaoioaaiaanaeaueaouaaoueanaaaaeoooooiuuieiaeaiaaiiooaeouoieiiaiaaaiaioauiiuouiauieiua
0,そこいらはもうだいぶ木立が深いと見え、空気はひえびえとしていた
1,ソコイラハモウダイブコダチガフカイトミエ、クウキハヒエビエトシテイタ
2,ooiaaouaiuoaiauaioieuuiaieieoieia
0,ところどころに小さな沢が食いこんだりしていた
1,トコロドコロニチイサナサワガクイコンダリシテイタ
2,ooooooiiiaaaaauioaiieia
0,突然、私の頭の中にこんな考えが閃いた
1,トツゼン、ワタシノアタマノナカニコンナカンガエガヒラメイタ
2,oueaaioaaaoaaionaanaeaiaeia
0,お前はこの夏、偶然出逢った私のような者にもあんなに従順だったように、いや、もっともっと、お前の父や、それからまたそういう父をも数に入れたお前のすべてを絶えず支配しているものに、素直に身を任せ切っているのではないだろうか？　……「節子！　そういうお前であるのなら、私はお前がもっともっと好きになるだろう
1,オマエハコノナツ、グウゼンデアッタワタシノヨウナモノニモアンナニジュウジュンダッタヨウニ、イヤ、モットモット、オマエノチチヤ、ソレカラマタソウイウチチヲモカズニイレタオマエノスベテヲタエズシハイシテイルモノニ、スナオニミヲマカセキッテイルノデハナイダロウカ？　……「セツコ！　ソウイウオマエデアルノナラ、ワタシハオマエガモットモットスキニナルダロウ
2,oaeaooauuueeauaaaioouaooioanaiuuuauaouiiaoooooaeoiiaoeaaaaouiuiiooauiieaoaeoueeoaeuiaiieiuooiuaoiioaaeiueiuoeaaiaouaeuoouiuoaeeauoaaaaiaoaeaoooouiiauaou
