,0
0,原文
1,読み
2,母音
0,隴西の李徴は博学才穎、天宝の末年、若くして名を虎榜に連ね、ついで江南尉に補せられたが、性、狷介、自ら恃むところ頗る厚く、賤吏に甘んずるを潔しとしなかった
1,隴西ノリチョウハハクガクサイ穎、テンポウノスエネン、ワカクシテナヲトラ榜ニツラネ、ツイデコウナンジョウニホセラレタガ、セイ、ケンカイ、ミズカラ恃むところスコブルアツク、賤吏ニアマンズルヲイサギヨシトシナカッタ
2,ouiioiouaauauaieienououeeaauieaooaouiuaeuieouaouioeaeaaeienaiiuaaiuooououuauueniiaanuuoiaioioiaaua
0,いくばくもなく官を退いた後は、故山、略に帰臥し、人と交を絶って、ひたすら詩作に耽った
1,イクバクモナクカンヲシリゾイタノチハ、コザン、リャクニキガシ、ヒトト交ヲタッテ、ヒタスラシサクニフケッタ
2,iuauoauaoiioiaoiaoaauiiaiiooouoaueiauaiauiueua
0,下吏となって長く膝を俗悪な大官の前に屈するよりは、詩家としての名を死後百年に遺そうとしたのである
1,カリトナッテナガクヒザヲゾクアクナタイカンノマエニクッスルヨリハ、シカトシテノナヲシゴヒャクネンニノコソウトシタノデアル
2,aioaueaauiaoouauaaiaoaeiuuuoiaiaoieoaoioaueiooouoiaoeau
0,しかし、文名は容易に揚らず、生活は日を逐うて苦しくなる
1,シカシ、ブンメイハヨウイニアガラズ、セイカツハヒヲオウテクルシクナル
2,iaiuneiaouiiaaaueiauaiooueuuiuau
0,李徴は漸く焦躁に駆られて来た
1,リチョウハヨウヤクショウソウニカラレテキタ
2,iouaouauououiaaeeia
0,この頃からその容貌も峭刻となり、肉落ち骨秀で、眼光のみ徒らに炯々として、曾て進士に登第した頃の豊頬の美少年の俤は、何処に求めようもない
1,コノコロカラソノヨウボウモ峭刻トナリ、ニクオチホネヒイデ、ガンコウノミイタズラニケイケイトシテ、曾テシンシニトウダイシタコロノホウキョウノビショウネンノオモカゲハ、ドコニモトメヨウモナイ
2,ooooaaooououoououoaiiuoioeiieanouoiiauaieieioieoeiniiouaiiaoooouiouoioueoooaeaooiooeouoai
0,数年の後、貧窮に堪えず、妻子の衣食のために遂に節を屈して、再び東へ赴き、一地方官吏の職を奉ずることになった
1,スウネンノノチ、ヒンキュウニコタエズ、サイシノイショクノタメニツイニフシヲクッシテ、フタタビヒガシヘオモムキ、イチチホウカンリノショクヲホウズルコトニナッタ
2,uueooiiniuuioaeuaiioiouoaeiuiiuiouieuaaiiaieoouiiiiouanioouoouuuooiaua
0,一方、これは、己の詩業に半ば絶望したためでもある
1,イッポウ、コレハ、オノレノシギョウニナカバゼツボウシタタメデモアル
2,iouoeaooeoiouiaaaeuouiaaeeoau
0,曾ての同輩は既に遥か高位に進み、彼が昔、鈍物として歯牙にもかけなかったその連中の下命を拝さねばならぬことが、往年の儁才李徴の自尊心を如何に傷けたかは、想像に難くない
1,曾テノドウハイハスデニハルカコウイニススミ、カレガムカシ、ドンブツトシテシガニモカケナカッタソノレンチュウノカメイヲオガメサネバナラヌコトガ、オウネンノ儁才スモモチョウノジソンシンヲイカニキズツケタカハ、ソウゾウニカタクナイ
2,oeoouaiaueiauaouiiuuiaeauaionuuoieiaioaeaauaooenuuoaeiooaeaeaaauooaoueounaiuooouoionioiaiiuueaaaououiaauai
0,彼は怏々として楽しまず、狂悖の性は愈々抑え難くなった
1,カレハオウオウトシテタノシマズ、キョウモトノセイハイヨイヨオサエガタクナッタ
2,aeaououoieaoiauiouoooeiaioiooaeaauaua
0,一年の後、公用で旅に出、汝水のほとりに宿った時、遂に発狂した
1,イチネンノノチ、コウヨウデタビニデ、ナンジスイノホトリニヤドッタトキ、ツイニハッキョウシタ
2,iieooiououeaiieaniuioooiiaouaoiuiiaouia
0,或夜半、急に顔色を変えて寝床から起上ると、何か訳の分らぬことを叫びつつそのまま下にとび下りて、闇の中へ駈出した
1,アルヤハン、キュウニカオイロヲカエテネドコカラオコリノボルト、ナニカヤクノワカラヌコトヲサケビツツソノママシタニトビオリテ、ヤミノナカヘカダシタ
2,auaaiuuiaoiooaeeeooaaooioouoaiaauoaaauoooaeiuuooaaiaioioieaioaaeaaia
0,彼は二度と戻って来なかった
1,カレハニドトモドッテコナカッタ
2,aeaiooooueoaaua
0,附近の山野を捜索しても、何の手掛りもない
1,フキンノサンヤヲソウサクシテモ、ナニノテガカリモナイ
2,uioanaoouauieoaioeaaioai
0,その後李徴がどうなったかを知る者は、誰もなかった
1,ソノゴリチョウガドウナッタカヲシルモノハ、ダレモナカッタ
2,oooiouaouauaaoiuooaaeoaaua
0,翌年、監察御史、陳郡の袁という者、勅命を奉じて嶺南に使し、途に商於の地に宿った
1,ヨクネン、カンサツゴシ、ヒネグンノ袁トイウモノ、チョクメイヲホウジテミネミナミニツカイシ、トニショウ於ノチニヤドッタ
2,oueanauoiieuoeoiuoooueioouieieiaiiuaiioiouooiiaoua
0,次の朝未だ暗い中に出発しようとしたところ、駅吏が言うことに、これから先の道に人喰虎が出る故、旅人は白昼でなければ、通れない
1,ツギノアサイマダクライナカニシュッパツシヨウトシタトコロ、エキ吏ガイウコトニ、コレカラサキノミチニヒトクエトラガデルユエ、タビビトハハクチュウデナケレバ、トオレナイ
2,uioaaiaauaiaaiuauiouoiaoooeiiaiuooioeaaaioiiiioueoaaeuueaiioaauuueaeeaooeai
0,今はまだ朝が早いから、今少し待たれたが宜しいでしょうと
1,イマハマダアサガハヤイカラ、イマスクナシマタレタガヨロシイデショウト
2,iaaaaaaaaaiaaiauuaiaaeaaooiieouo
0,袁は、しかし、供廻りの多勢なのを恃み、駅吏の言葉を斥けて、出発した
1,袁ハ、シカシ、トモマワリノタゼイナノヲ恃ミ、エキ吏ノコトバヲシリゾケテ、シュッパツシタ
2,eaiaiooaaioaeiaooiieiioooaoiioeeuauia
0,残月の光をたよりに林中の草地を通って行った時、果して一匹の猛虎が叢の中から躍り出た
1,ザンゲツノヒカリヲタヨリニハヤシチュウノクサチヲトオッテイッタトキ、ハタシテイチヒキノモウコガクサムラノナカカラオドリデタ
2,aneuoiaioaoiiaaiuuouaioooueiuaoiaaieiiiioouoauauaoaaaaooiea
0,虎は、あわや袁に躍りかかるかと見えたが、忽ち身を飜して、元の叢に隠れた
1,トラハ、アワヤ袁ニオドリカカルカトミエタガ、タチマチミヲ飜シテ、モトノクサムラニカクレタ
2,oaaaaaeiooiaauaoieaaaiaiiooieooouauaiauea
0,叢の中から人間の声で「あぶないところだった」と繰返し呟くのが聞えた
1,クサムラノナカカラニンゲンノコエデ「アブナイトコロダッタ」トクリカエシツブヤクノガキコエタ
2,uauaoaaaaineooeeauaioooauaouiaeiuuauoaioea
0,その声に袁は聞き憶えがあった
1,ソノコエニ袁ハキキオボエガアッタ
2,oooeieaiiooeaaua
0,驚懼の中にも、彼は咄嗟に思いあたって、叫んだ
1,オドロキ懼ノナカニモ、カレハトッサニオモイアタッテ、サケンダ
2,oooiuoaaioaeaoaiooiaaueaea
0,「その声は、我が友、李徴子ではないか？」袁は李徴と同年に進士の第に登り、友人の少かった李徴にとっては、最も親しい友であった
1,「ソノコエハ、ワガトモ、リチョウコデハナイカ？」袁ハリチョウトドウネンニシンシノダイニノボリ、ユウジンノスクナカッタリチョウニトッテハ、モットモシタシイトモデアッタ
2,oooeaaaooiouoeaaiaeaiouooueiinioaiiooiuuiouuaauaiouioeaoooiaiiooeaua
0,温和な袁の性格が、峻峭な李徴の性情と衝突しなかったためであろう
1,オンワナ袁ノセイカクガ、タカシ峭ナリシルシノセイジョウトショウトツシナカッタタメデアロウ
2,onaaeoeiauaaaiouaiiuioeiouoououiaauaaeeaou
0,叢の中からは、暫く返辞が無かった
1,クサムラノナカカラハ、シバラクヘンジガナカッタ
2,uauaoaaaaaiaaueniaaaua
0,しのび泣きかと思われる微かな声が時々洩れるばかりである
1,シノビナキカトオモワレルカスカナコエガトキドキモレルバカリデアル
2,ioiaiaoooaeuauaaoeaoioioeuaaieau
0,ややあって、低い声が答えた
1,ヤヤアッテ、ヒクイコエガコタエタ
2,aaaueiuioeaoaea
0,「如何にも自分は隴西の李徴である」と
1,「イカニモジブンハ隴西ノリシルシデアル」ト
2,iaioiuaouiioiiuieauo
0,袁は恐怖を忘れ、馬から下りて叢に近づき、懐かしげに久闊を叙した
1,袁ハキョウフヲワスレ、ウマカラオリテクサムラニチカヅキ、ナツカシゲニキュウカツヲジョシタ
2,eaiouuoaueuaaaoieuauaiiauiauaieiiuuauooia
0,そして、何故叢から出て来ないのかと問うた
1,ソシテ、ナゼクサムラカラデテコナイノカトトウタ
2,oieaeuauaaaeeoaioaooua
0,李徴の声が答えて言う
1,リシルシノコエガコタエテイウ
2,iiuiooeaoaeeiu
0,自分は今や異類の身となっている
1,ジブンハイマヤイルイノミトナッテイル
2,iuaiaaiuioioaueiu
0,どうして、おめおめと故人の前にあさましい姿をさらせようか
1,ドウシテ、オメオメトコジンノマエニアサマシイスガタヲサラセヨウカ
2,ouieoeoeooioaeiaaaiiuaaoaaeoua
0,かつ又、自分が姿を現せば、必ず君に畏怖嫌厭の情を起させるに決っているからだ
1,カツマタ、ジブンガスガタヲアラワセバ、カナラズキミニイフイヤイヤノジョウヲオコサセルニキマッテイルカラダ
2,auaaiuauaaoaaaeaaaauiiiiuiaiaoouoooaeuiiaueiuaaa
0,しかし、今、図らずも故人に遇うことを得て、愧赧の念をも忘れる程に懐かしい
1,シカシ、イマ、ハカラズモコジンニアウコトヲエテ、愧赧ノネンヲモワスレルホドニナツカシイ
2,iaiiaaaauooiiauoooeeioeooaueuooiauaii
0,どうか、ほんの暫くでいいから、我が醜悪な今の外形を厭わず、曾て君の友李徴であったこの自分と話を交してくれないだろうか
1,ドウカ、ホンノシバラクデイイカラ、ワガシュウアクナイマノガイケイヲイトワズ、曾テキミノトモリシルシデアッタコノジブントハナシヲカワシテクレナイダロウカ
2,ouaonoiaaueiiaaaauuauaiaoaieioioauoeiioooiiuieauaooiuoaaioaaieueaiaoua
0,後で考えれば不思議だったが、その時、袁は、この超自然の怪異を、実に素直に受容れて、少しも怪もうとしなかった
1,アトデカンガエレバフシギダッタガ、ソノトキ、袁ハ、コノチョウシゼンノカイイヲ、ジツニスナオニジュヨウレテ、スコシモカイモウトシナカッタ
2,aoeanaeeauiiauaaoooieaooouieoaiioiuiuaoiuoueeuoioaiouoiaaua
0,彼は部下に命じて行列の進行を停め、自分は叢の傍に立って、見えざる声と対談した
1,カレハブカニメイジテギョウレツノシンコウヲトメ、ジブンハクサムラノハタニタッテ、ミエザルコエトタイダンシタ
