,0
0,原文
1,読み
2,母音
0,一　午後の授業「ではみなさんは、そういうふうに川だと言われたり、乳の流れたあとだと言われたりしていた、このぼんやりと白いものがほんとうは何かご承知ですか」先生は、黒板につるした大きな黒い星座の図の、上から下へ白くけぶった銀河帯のようなところを指しながら、みんなに問いをかけました
1,イチ　ゴゴノジュギョウ「デハミナサンハ、ソウイウフウニカワダトイワレタリ、チチノナガレタアトダトイワレタリシテイタ、コノボンヤリトシロイモノガホントウハナニカゴショウチデスカ」センセイハ、コクバンニツルシタオオキナクロイセイザノズノ、ウエカラシタヘシロクケブッタギンガタイノヨウナトコロヲサシナガラ、ミンナニトイヲカケマシタ
2,iiooououeaiaaaouiuuuiaaaoiaeaiiioaaeaaoaoiaeaiieiaooonaioioiooaonouaaiaoouieuaeneiaouaiuuiaooiauoieiaououeaaiaeioueuuainaaioouaooooaiaaainaioioaeaia
0,カムパネルラが手をあげました
1,カムパネルラガテヲアゲマシタ
2,auaeuaaeoaeaia
0,それから四、五人手をあげました
1,ソレカラヨン、ゴニンシュヲアゲマシタ
2,oeaaooiuoaeaia
0,ジョバンニも手をあげようとして、急いでそのままやめました
1,ジョバンニモテヲアゲヨウトシテ、イソイデソノママヤメマシタ
2,oanioeoaeouoieioieooaaaeaia
0,たしかにあれがみんな星だと、いつか雑誌で読んだのでしたが、このごろはジョバンニはまるで毎日教室でもねむく、本を読むひまも読む本もないので、なんだかどんなこともよくわからないという気持ちがするのでした
1,タシカニアレガミンナホシダト、イツカザッシデヨンダノデシタガ、コノゴロハジョバンニハマルデマイニチキョウシツデモネムク、ホンヲヨムヒマモヨムホンモナイノデ、ナンダカドンナコトモヨクワカラナイトイウキモチガスルノデシタ
2,aiaiaeainaoiaoiuaaieoaoeiaaooooaoaniaaueaiiiiouiueoeuuooouiaoouooaioeanaaonaoooouaaaaioiuioiauuoeia
0,ところが先生は早くもそれを見つけたのでした
1,トコロガセンセイハハヤクモソレヲミツケタノデシタ
2,oooaeneiaaauooeoiueaoeia
0,「ジョバンニさん
1,「ジョバンニサン
2,oania
0,あなたはわかっているのでしょう」ジョバンニは勢いよく立ちあがりましたが、立ってみるともうはっきりとそれを答えることができないのでした
1,アナタハワカッテイルノデショウ」ジョバンニハイキオイヨクタチアガリマシタガ、タッテミルトモウハッキリトソレヲコタエルコトガデキナイノデシタ
2,aaaaaaueiuoeouoaniaiioiouaiaaiaiaaaueiuoouaiiooeooaeuooaeiaioeia
0,ザネリが前の席からふりかえって、ジョバンニを見てくすっとわらいました
1,ザネリガマエノセキカラフリカエッテ、ジョバンニヲミテクスットワライマシタ
2,aeiaaeoeiaauiaeueoanioieuuoaaiaia
0,ジョバンニはもうどぎまぎしてまっ赤になってしまいました
1,ジョバンニハモウドギマギシテマッアカニナッテシマイマシタ
2,oaniaouoiaiieauaaiaueiaiaia
0,先生がまた言いました
1,センセイガマタイイマシタ
2,eneiaaaiiaia
0,「大きな望遠鏡で銀河をよっく調べると銀河はだいたい何でしょう」やっぱり星だとジョバンニは思いましたが、こんどもすぐに答えることができませんでした
1,「オオキナボウエンキョウデギンガヲヨックシラベルトギンガハダイタイナニデショウ」ヤッパリホシダトジョバンニハオモイマシタガ、コンドモスグニコタエルコトガデキマセンデシタ
2,ooiaouenioueinaoouuiaeuoinaaaiaiaieouaaioiaooaniaooiaiaaonoouuioaeuooaeiaeeia
0,先生はしばらく困ったようすでしたが、眼をカムパネルラの方へ向けて、「ではカムパネルラさん」と名指しました
1,センセイハシバラクコマッタヨウスデシタガ、メヲカムパネルラノホウヘムケテ、「デハカムパネルラサン」トナザシマシタ
2,eneiaiaauoauaouueiaaeoauaeuaooueueeeaauaeuaaoaaiaia
0,するとあんなに元気に手をあげたカムパネルラが、やはりもじもじ立ち上がったままやはり答えができませんでした
1,スルトアンナニゲンキニテヲアゲタカムパネルラガ、ヤハリモジモジタチアガッタママヤハリコタエガデキマセンデシタ
2,uuoanaieniieoaeaauaeuaaaaioioiaiaauaaaaaioaeaeiaeeia
0,先生は意外なようにしばらくじっとカムパネルラを見ていましたが、急いで、「では、よし」と言いながら、自分で星図を指しました
1,センセイハイガイナヨウニシバラクジットカムパネルラヲミテイマシタガ、イソイデ、「デハ、ヨシ」トイイナガラ、ジブンデセイズヲサシマシタ
2,eneiaiaiaouiiaauioauaeuaoieiaiaaioieeaoioiiaaaiueeiuoaiaia
0,「このぼんやりと白い銀河を大きないい望遠鏡で見ますと、もうたくさんの小さな星に見えるのです
1,「コノボンヤリトシロイギンガヲオオキナイイボウエンキョウデミマスト、モウタクサンノチイサナホシニミエルノデス
2,ooonaioioiinaoooiaiiouenioueiauoouauaoiiaaoiiieuoeu
0,ジョバンニさんそうでしょう」ジョバンニはまっ赤になってうなずきました
1,ジョバンニサンソウデショウ」ジョバンニハマッアカニナッテウナズキマシタ
2,oaniaoueouoaniaauaaiaueuauiaia
0,けれどもいつかジョバンニの眼のなかには涙がいっぱいになりました
1,ケレドモイツカジョバンニノメノナカニハナミダガイッパイニナリマシタ
2,eeooiuaoanioeoaaiaaiaaiaiiaiaia
0,そうだ僕は知っていたのだ、もちろんカムパネルラも知っている、それはいつかカムパネルラのお父さんの博士のうちでカムパネルラといっしょに読んだ雑誌のなかにあったのだ
1,ソウダボクハシッテイタノダ、モチロンカムパネルラモシッテイル、ソレハイツカカムパネルラノオトウサンノハカセノウチデカムパネルラトイッショニヨンダザッシノナカニアッタノダ
2,ouaouaiueiaoaoioauaeuaoiueiuoeaiuaauaeuaooouaoaaeouieauaeuaoioioaaioaaiauaoa
0,それどこでなくカムパネルラは、その雑誌を読むと、すぐお父さんの書斎から巨きな本をもってきて、ぎんがというところをひろげ、まっ黒な頁いっぱいに白に点々のある美しい写真を二人でいつまでも見たのでした
1,ソレドコデナクカムパネルラハ、ソノザッシヲヨムト、スグオトウサンノショサイカラ巨キナホンヲモッテキテ、ギンガトイウトコロヲヒロゲ、マックロナページイッパイニシロニテンテンノアルウツクシイシャシンヲニニンデイツマデモミタノデシタ
2,oeooeauauaeuaaooaioououuoouaooaiaaoiaoooueieiaoiuooooioeauoaeiiaiiioieneoauuuuiiaioiieiuaeoiaoeia
0,それをカムパネルラが忘れるはずもなかったのに、すぐに返事をしなかったのは、このごろぼくが、朝にも午後にも仕事がつらく、学校に出てももうみんなともはきはき遊ばず、カムパネルラともあんまり物を言わないようになったので、カムパネルラがそれを知ってきのどくがってわざと返事をしなかったのだ、そう考えるとたまらないほど、じぶんもカムパネルラもあわれなような気がするのでした
1,ソレヲカムパネルラガワスレルハズモナカッタノニ、スグニヘンジヲシナカッタノハ、コノゴロボクガ、アサニモゴゴニモシゴトガツラク、ガッコウニデテモモウミンナトモハキハキアソバズ、カムパネルラトモアンマリブツヲイワナイヨウニナッタノデ、カムパネルラガソレヲシッテキノドクガッテワザトヘンジヲシナカッタノダ、ソウカンガエルトタマラナイホド、ジブンモカムパネルラモアワレナヨウナキガスルノデシタ
2,oeoauaeuaaaueuauoaauaoiuuienioiaauaoaooooouaaaioooioiooauauaouieeoouinaooaiaiaoauauaeuaooanaiuuoiaaiouiauaoeauaeuaaoeoiueioouaeaaoenioiaauaoaouanaeuoaaaaiooiuoauaeuaoaaeaouaiauuoeia
0,先生はまた言いました
1,センセイハマタイイマシタ
2,eneiaaaiiaia
0,「ですからもしもこの天の川がほんとうに川だと考えるなら、その一つ一つの小さな星はみんなその川のそこの砂や砂利の粒にもあたるわけです
1,「デスカラモシモコノアマノガワガホントウニカワダトカンガエルナラ、ソノヒトツヒトツノチイサナホシハミンナソノカワノソコノスナヤジャリノツブニモアタルワケデス
2,euaaoioooaaoaaaonouiaaaoanaeuaaooiouiouoiiaaoiainaooaaoooouaaaiouuioaauaeeu
0,またこれを巨きな乳の流れと考えるなら、もっと天の川とよく似ています
1,マタコレヲ巨キナチチノナガレトカンガエルナラ、モットソラノカワトヨクニテイマス
2,aaoeooiaiioaaeoanaeuaaoooaoaaoouieiau
0,つまりその星はみな、乳のなかにまるで細かにうかんでいる脂油の球にもあたるのです
1,ツマリソノホシハミナ、チチノナカニマルデコマカニウカンデイルアブラユノタマニモアタルノデス
2,uaioooiaiaiioaaiaueoaaiuaeiuauauoaaioaauoeu
0,そんなら何がその川の水にあたるかと言いますと、それは真空という光をある速さで伝えるもので、太陽や地球もやっぱりそのなかに浮かんでいるのです
1,ソンナラナニガソノカワノミズニアタルカトイイマスト、ソレハシンクウトイウヒカリヲアルハヤサデツタエルモノデ、タイヨウヤチキュウモヤッパリソノナカニウカンデイルノデス
2,oaaaiaooaaoiuiaauaoiiauooeainuuoiuiaioauaaaeuaeuooeaiouaiiuuoaaiooaaiuaeiuoeu
0,つまりは私どもも天の川の水のなかに棲んでいるわけです
1,ツマリハワタシドモモソラノカワノミズノナカニスンデイルワケデス
2,uaiaaaiooooaoaaoiuoaaiueiuaeeu
0,そしてその天の川の水のなかから四方を見ると、ちょうど水が深いほど青く見えるように、天の川の底の深く遠いところほど星がたくさん集まって見え、したがって白くぼんやり見えるのです
1,ソシテソノソラノカワノミズノナカカラシホウヲミルト、チョウドミズガフカイホドアオクミエルヨウニ、ソラノカワノソコノフカクトオイトコロホドホシガタクサンアツマッテミエ、シタガッテシロクボンヤリミエルノデス
2,oieoooaoaaoiuoaaaaiouoiuoouoiuauaiooaouieuouioaoaaoooouauooiooooooiaauaauaueieiaaeiouonaiieuoeu
0,この模型をごらんなさい」先生は中にたくさん光る砂のつぶのはいった大きな両面の凸レンズを指しました
1,コノモケイヲゴランナサイ」センセイハナカニタクサンヒカルスナノツブノハイッタオオキナリョウメンノトツレンズヲサシマシタ
2,oooeiooaaaieneiaaaiauaiauuaouuoaiuaooiaoueoouenuoaiaia
0,「天の川の形はちょうどこんななのです
1,「ソラノカワノカタチハチョウドコンナナノデス
2,oaoaaoaaiaouoonaaoeu
0,このいちいちの光るつぶがみんな私どもの太陽と同じようにじぶんで光っている星だと考えます
1,コノイチイチノヒカルツブガミンナワタシドモノタイヨウトオナジヨウニジブンデヒカッテイルホシダトカンガエマス
2,ooiiiioiauuuainaaaioooaiouooaiouiiueiaueiuoiaoanaeau
0,私どもの太陽がこのほぼ中ごろにあって地球がそのすぐ近くにあるとします
1,ワタシドモノタイヨウガコノホボナカゴロニアッテチキュウガソノスグチカクニアルトシマス
2,aaioooaiouaooooaaooiaueiiuuaoouuiauiauoiau
0,みなさんは夜にこのまん中に立ってこのレンズの中を見まわすとしてごらんなさい
1,ミナサンハヨルニコノマンナカニタッテコノレンズノナカヲミマワストシテゴランナサイ
